state_cd,route_cd,discontinued,DC_year,new_route_cd,replacement_route,replacement_year,original_route_cd,Flag,DC_reason
44,0072,NO,,,NO,,,,
44,0073,NO,,,NO,,,,
44,0074,NO,,,NO,,,,
44,0075,NO,,,NO,,,,
44,0076,NO,,,YES,1989,055,,
44,0077,NO,,,YES,1977,014,,
44,0078,NO,,,YES,1978,023,,
44,0079,YES,1969,015,NO,,,,079 only run for one year in 1968
44,0080,NO,,,YES,1976,049,,
44,0081,NO,,,NO,,,,
44,0082,YES,2018,088,YES,2005,028,,082 was no longer passable during survey period
44,0083,NO,,,YES,2009,037,,
44,0084,NO,,,YES,2009,045,,
44,0085,NO,,,YES,2010,053,,
44,0086,NO,,,YES,2011,044,,
44,0087,NO,,,YES,1979,058,,
44,0088,NO,,,YES,2018,082,,
44,0089,NO,,,YES,2020,057,,
45,0001,NO,,,NO,,,,
45,0002,NO,,,NO,,,,
45,0003,NO,,,NO,,,,
45,0004,NO,,,NO,,,,
45,0005,NO,,,NO,,,,
45,0006,NO,,,NO,,,,
45,0007,NO,,,NO,,,,
45,0008,NO,,,NO,,,,
45,0009,NO,,,NO,,,,
45,0010,NO,,,NO,,,,
45,0011,NO,,,NO,,,,
45,0012,NO,,,NO,,,,
45,0013,NO,,,NO,,,,
45,0014,NO,,,NO,,,,
45,0015,NO,,,NO,,,,
45,0016,NO,,,NO,,,,
45,0017,NO,,,NO,,,,
45,0018,NO,,,NO,,,,
45,0019,NO,,,NO,,,,
45,0020,NO,,,NO,,,,
45,0021,NO,,,NO,,,,
45,0022,NO,,,NO,,,,
45,0023,NO,,,NO,,,,
45,0024,NO,,,NO,,,,
45,0025,NO,,,NO,,,,
45,0026,NO,,,NO,,,,
45,0027,NO,,,NO,,,,
45,0028,NO,,,NO,,,,
45,0029,NO,,,NO,,,,
45,0030,NO,,,NO,,,,
45,0031,NO,,,NO,,,,
45,0032,NO,,,NO,,,,
45,0033,NO,,,NO,,,,
45,0034,NO,,,NO,,,,
45,0035,NO,,,NO,,,,
45,0036,NO,,,NO,,,,
45,0037,NO,,,NO,,,,
45,0038,NO,,,NO,,,,
45,0039,NO,,,NO,,,,
45,0040,NO,,,NO,,,,
45,0041,NO,,,NO,,,,
45,0042,NO,,,NO,,,,
45,0043,NO,,,NO,,,,
45,0051,YES,1992,,NO,,,"Never established or run as far as I can tell since we don't have a route map for it, nor do we have a record of it being run in the master table-BR",
45,0054,YES,1998,,NO,,,"DC, but never replaced, no route map in files, run in 1994, CZ in 1995-1997.",
46,0001,YES,2019,034,YES,,,,"DC, replaced by 034.  Road was closed."
46,0002,NO,,,NO,,,,
46,0003,YES,1976,030,NO,,,,
46,0004,NO,,,NO,,,,
46,0005,YES,1983,031,NO,,,,
46,0006,NO,,,NO,,,,
46,0007,NO,,,NO,,,,
46,0008,YES,1993,032,NO,,,,
46,0009,NO,,,NO,,,,
46,0010,NO,,,NO,,,,
46,0011,NO,,,NO,,,,
46,0012,NO,,,NO,,,,
46,0013,NO,,,NO,,,,
46,0014,NO,,,NO,,,,
46,0015,NO,,,NO,,,,
46,0016,NO,,,NO,,,,
46,0017,NO,,,NO,,,,
46,0018,NO,,,NO,,,,
46,0019,NO,,,NO,,,,
46,0020,NO,,,NO,,,,
46,0021,NO,,,NO,,,,
46,0022,NO,,,NO,,,,
46,0023,NO,,,NO,,,,
46,0024,YES,1984,029,NO,,,,
46,0025,YES,1969,027,NO,,,,
46,0026,YES,2006,033,NO,,,,
46,0027,NO,,,YES,1968,025,,
46,0028,YES,,,NO,,,"Never run.  Back before the official start of the survey in 1966, this route replaced 011.  However, when the official SGS started in 1968, it was always called 011 and run consistently as 011.  So for all intensive purposes you can delete this record sin",
46,0029,NO,,,YES,1969,024,,
46,0030,NO,,,YES,1976,003,,
46,0031,NO,,,YES,1983,005,,
46,0032,NO,,,YES,1993,008,,
46,0033,NO,,,YES,2006,026,,
46,0034,NO,,,NO,,,,
47,0001,NO,,,NO,,,,
47,0002,NO,,,NO,,,,
47,0003,NO,,,NO,,,,
47,0004,NO,,,NO,,,,
47,0005,NO,,,NO,,,,
47,0006,NO,,,NO,,,,
47,0007,YES,,022,NO,,,,
47,0008,NO,,,NO,,,,
47,0009,NO,,,NO,,,,
47,0010,NO,,,NO,,,,
47,0011,NO,,,NO,,,,
47,0012,NO,,,NO,,,,
47,0013,YES,2019,024,NO,,,,"rd washed out, not sure when it will be repaired"
47,0014,NO,,,NO,,,,
47,0015,YES,,021,NO,,,,
47,0016,NO,,,NO,,,,
47,0017,NO,,,NO,,,,
47,0018,NO,,,NO,,,,
47,0019,NO,,,NO,,,,
47,0020,YES,,023,NO,,,,
47,0021,NO,,,YES,,015,,
47,0022,NO,,,YES,,007,,
47,0023,NO,,,YES,,020,,
47,0024,NO,,,YES,2019,013,,
49,0001,NO,,,NO,,,,
49,0002,YES,,,NO,,,"This route never existed in the official SGS, but we do have a map for it.  Again, it was probably run before the official survey began.  You can delete it from the system.",
49,0003,NO,,,NO,,,,
49,0004,YES,,,NO,,,"This route was only run in 1973.  We have no other records of it in our master table and it only says it was DC, no mention of a replacement route number.",
49,0005,NO,,,NO,,,,
49,0006,NO,,,NO,,,,
49,0007,NO,,,NO,,,,
49,0008,NO,,,NO,,,,
49,0009,NO,,,NO,,,,
49,0010,NO,,,NO,,,,
49,0011,YES,1999,270,NO,,,,
49,0012,NO,,,NO,,,,
49,0013,NO,,,NO,,,,
49,0014,NO,,,NO,,,,
49,0015,NO,,,NO,,,,
49,0016,NO,,,NO,,,,
49,0017,NO,,,NO,,,,
49,0018,NO,,,NO,,,,
49,0019,NO,,,NO,,,,
49,0020,NO,,,NO,,,,
49,0021,YES,,,NO,,,"This route never existed in the official SGS.  Again, it was probably run before the official survey began.  You can delete it from the system.",
49,0022,NO,,,NO,,,,
49,0023,NO,,,NO,,,,
49,0024,NO,,,NO,,,,
49,0025,NO,,,NO,,,,
49,0026,NO,,,NO,,,,
49,0027,NO,,,NO,,,,
49,0028,YES,,,NO,,,"This route was only run in 1973.  We have no other records of it in our master table and it only says it was DC, no mention of a replacement route number.",
49,0029,NO,,,NO,,,,
49,0030,YES,2010,263,NO,,,,
49,0031,NO,,,NO,,,,
49,0032,NO,,,NO,,,,
49,0033,NO,,,NO,,,,
49,0034,YES,1989,253,NO,,,,
49,0035,NO,,,NO,,,,
49,0036,NO,,,NO,,,,
49,0037,NO,,,NO,,,,
49,0038,NO,,,NO,,,,
49,0039,NO,,,NO,,,,
49,0040,YES,1992,257,NO,,,,
49,0041,YES,,,NO,,,"This route never existed in the official SGS even though we do have a map for it.  Again, it was probably run before the official survey began.  You can delete it from the system.",
49,0042,NO,,,NO,,,,
49,0043,YES,2004,265,NO,,,,
49,0044,NO,,,NO,,,,
49,0045,NO,,,NO,,,,
49,0046,NO,,,NO,,,,
49,0047,NO,,,NO,,,,
49,0048,NO,,,NO,,,,
49,0049,YES,2005,274,NO,,,,"retroactive rte change, start was unknowingly adjusted"
49,0050,NO,,,NO,,,,
49,0051,NO,,,NO,,,,
49,0053,NO,,,NO,,,,
49,0054,NO,,,NO,,,,
49,0055,NO,,,NO,,,,
49,0056,NO,,,NO,,,,
49,0057,NO,,,NO,,,,
49,0058,NO,,,NO,,,,
49,0059,NO,,,NO,,,,
49,0060,NO,,,NO,,,,
49,0061,NO,,,NO,,,,
49,0062,YES,2015,267,NO,,,,
49,0063,NO,,,NO,,,,
49,0064,NO,,,NO,,,,
49,0065,NO,,,NO,,,,
49,0066,NO,,,NO,,,,
49,0067,NO,,,NO,,,,
49,0068,NO,,,NO,,,,
49,0069,NO,,,NO,,,,
49,0070,NO,,,NO,,,,
49,0071,NO,,,NO,,,,
